PERMNO,date,TICKER,PRC,SHROUT
76076,20130430,CSCO,20.92000,5315000
76076,20130531,CSCO,24.11500,5344336
76076,20130628,CSCO,24.33500,5344336
76076,20130731,CSCO,25.59000,5389097
76076,20130830,CSCO,23.31000,5389097
76076,20130930,CSCO,23.43100,5361550
76076,20131031,CSCO,22.56000,5351000
76076,20131129,CSCO,21.25000,5346618
76076,20131231,CSCO,22.43000,5346618
76201,20130131,XLNX,36.49000,261562
76201,20130228,XLNX,37.27000,261562
76201,20130328,XLNX,38.17000,263649
76201,20130430,XLNX,37.91000,263649
76201,20130531,XLNX,40.65000,263649
76201,20130628,XLNX,39.61000,266298
76201,20130731,XLNX,46.69000,266298
76201,20130830,XLNX,43.42000,266298
76201,20130930,XLNX,46.85100,268314
76201,20131031,XLNX,45.42900,268314
76201,20131129,XLNX,44.43000,268314
76201,20131231,XLNX,45.92000,268314
76614,20130131,REGN,173.94000,95224
76614,20130228,REGN,167.00000,95382
76614,20130328,REGN,176.40300,95651
76614,20130430,REGN,215.14000,95908
76614,20130531,REGN,241.88000,95908
76614,20130628,REGN,224.88000,96662
76614,20130731,REGN,270.06000,96710
76614,20130830,REGN,242.31000,96710
76614,20130930,REGN,312.87000,97351
76614,20131031,REGN,287.60001,97390
76614,20131129,REGN,293.85999,97390
76614,20131231,REGN,275.23999,97390
76744,20130131,VRTX,44.78000,217287
76744,20130228,VRTX,46.82000,218189
76744,20130328,VRTX,54.97000,218652
76744,20130430,VRTX,76.82000,221401
76744,20130531,VRTX,80.33000,221401
76744,20130628,VRTX,80.06000,232177
76744,20130731,VRTX,79.80000,232812
76744,20130830,VRTX,75.15000,232812
76744,20130930,VRTX,75.82000,233592
76744,20131031,VRTX,71.35000,233757
76744,20131129,VRTX,69.42000,233757
76744,20131231,VRTX,74.30000,233757
76841,20130131,BIIB,156.08000,236312
76841,20130228,BIIB,166.34000,236312
76841,20130328,BIIB,192.61800,237375
76841,20130430,BIIB,218.92999,237375
76841,20130531,BIIB,237.49001,237375
76841,20130628,BIIB,215.20000,237672
76841,20130731,BIIB,218.13000,237672
76841,20130830,BIIB,213.02000,237672
76841,20130930,BIIB,240.75999,236213
76841,20131031,BIIB,244.19000,236213
76841,20131129,BIIB,290.97000,236213
76841,20131231,BIIB,279.57199,236213
77178,20130131,QCOM,66.02000,1718130
77178,20130228,QCOM,65.64000,1718130
77178,20130328,QCOM,66.94000,1726000
77178,20130430,QCOM,61.60000,1727835
77178,20130531,QCOM,63.48000,1727835
77178,20130628,QCOM,61.09000,1722000
77178,20130731,QCOM,64.56200,1715426
77178,20130830,QCOM,66.28000,1715426
77178,20130930,QCOM,67.32000,1685000
77178,20131031,QCOM,69.49000,1685000
77178,20131129,QCOM,73.58000,1689436
77178,20131231,QCOM,74.25000,1689436
77274,20130131,GILD,39.45000,1520173
77274,20130228,GILD,42.72000,1522709
77274,20130328,GILD,48.94000,1524383
77274,20130430,GILD,50.64000,1525356
77274,20130531,GILD,54.48000,1525356
77274,20130628,GILD,51.27000,1528890
77274,20130731,GILD,61.40000,1530626
77274,20130830,GILD,60.27000,1530626
77274,20130930,GILD,62.87000,1534028
77274,20131031,GILD,71.17500,1533349
77274,20131129,GILD,74.81000,1533349
77274,20131231,GILD,75.10000,1533349
77281,20130131,WFM,96.25000,185400
77281,20130228,WFM,85.62000,185332
77281,20130328,WFM,86.75000,185332
77281,20130430,WFM,88.32000,185200
77281,20130531,WFM,51.86000,370894
77281,20130628,WFM,51.48000,370894
77281,20130731,WFM,55.58000,372300
77281,20130830,WFM,52.75000,372513
77281,20130930,WFM,58.50000,372400
77281,20131031,WFM,63.13000,372400
77281,20131129,WFM,56.60000,372138
77281,20131231,WFM,57.83000,372138
77659,20130131,BBBY,58.70000,229197
77659,20130228,BBBY,56.75000,229197
77659,20130328,BBBY,64.42000,220045
77659,20130430,BBBY,68.80000,220045
77659,20130531,BBBY,68.25000,217766
77659,20130628,BBBY,70.95000,217766
77659,20130731,BBBY,76.47000,217766
77659,20130830,BBBY,73.74000,214745
77659,20130930,BBBY,77.36000,217766
77659,20131031,BBBY,77.32000,217766
77659,20131129,BBBY,78.03000,217766
77659,20131231,BBBY,80.30000,214745
77668,20130131,ESRX,53.42000,818499
77668,20130228,ESRX,56.93000,818568
77668,20130328,ESRX,57.62000,817529
77668,20130430,ESRX,59.37000,817529
77668,20130531,ESRX,62.12000,817529
77668,20130628,ESRX,61.74000,814198
77668,20130731,ESRX,65.55000,814198
77668,20130830,ESRX,63.88000,814198
77668,20130930,ESRX,61.80000,805806
77668,20131031,ESRX,62.52000,805806
77668,20131129,ESRX,67.35000,805806
77668,20131231,ESRX,70.24000,805806
77702,20130131,SBUX,56.12000,749300
77702,20130228,SBUX,54.85000,749300
77702,20130328,SBUX,56.95000,748300
77702,20130430,SBUX,60.84000,748700
77702,20130531,SBUX,63.14000,748700
77702,20130628,SBUX,65.51000,751100
77702,20130731,SBUX,71.28900,751400
77702,20130830,SBUX,70.52000,751400
77702,20130930,SBUX,76.97000,753200
77702,20131031,SBUX,81.05000,753200
77702,20131129,SBUX,81.46000,753600
77702,20131231,SBUX,78.39000,753600
78975,20130131,INTU,62.38000,296389
78975,20130228,INTU,64.46800,296389
78975,20130328,INTU,65.66000,296389
78975,20130430,INTU,59.64000,296925
78975,20130531,INTU,58.44000,296925
78975,20130628,INTU,61.04000,296925
78975,20130731,INTU,63.92000,299503
78975,20130830,INTU,63.53000,282713
78975,20130930,INTU,66.31000,282713
78975,20131031,INTU,71.41000,284697
78975,20131129,INTU,74.23000,284903
78975,20131231,INTU,76.32000,284903
79103,20130131,ORLY,92.65000,112963
79103,20130228,ORLY,101.79000,111337
79103,20130328,ORLY,102.43900,111042
79103,20130430,ORLY,107.32000,111042
79103,20130531,ORLY,108.85000,110470
79103,20130628,ORLY,112.62000,108887
79103,20130731,ORLY,125.30000,108887
79103,20130830,ORLY,122.71000,108555
79103,20130930,ORLY,127.59000,107667
79103,20131031,ORLY,123.81000,107667
79103,20131129,ORLY,124.96000,107324
79103,20131231,ORLY,128.71001,107324
79588,20130131,GMCR,45.53000,148809
79588,20130228,GMCR,47.75000,148809
79588,20130328,GMCR,56.76000,148917
79588,20130430,GMCR,57.40000,148917
79588,20130531,GMCR,73.13000,149191
79588,20130628,GMCR,75.21800,150526
79588,20130731,GMCR,77.20000,150526
79588,20130830,GMCR,86.31000,150739
79588,20130930,GMCR,75.33000,150266
79588,20131031,GMCR,62.81000,150266
79588,20131129,GMCR,67.38000,149031
79588,20131231,GMCR,75.54000,149031
79678,20130131,ATVI,11.40000,1111606
79678,20130228,ATVI,14.29500,1113697
79678,20130328,ATVI,14.57000,1116914
79678,20130430,ATVI,14.96000,1116962
79678,20130531,ATVI,14.43000,1117542
79678,20130628,ATVI,14.26000,1119015
79678,20130731,ATVI,17.98000,1119458
79678,20130830,ATVI,16.32000,1119458
79678,20130930,ATVI,16.68000,1123569
79678,20131031,ATVI,16.68000,695433
79678,20131129,ATVI,17.21000,695433
79678,20131231,ATVI,17.83000,695433
80286,20130131,TSCO,103.67000,69209
80286,20130228,TSCO,103.99000,69489
80286,20130328,TSCO,104.13000,69490
80286,20130430,TSCO,107.17000,69788
80286,20130531,TSCO,111.98000,69788
80286,20130628,TSCO,117.54800,69767
80286,20130731,TSCO,121.15000,69809
80286,20130830,TSCO,122.37000,69809
80286,20130930,TSCO,67.17000,139587
80286,20131031,TSCO,71.35000,139587
80286,20131129,TSCO,73.21000,139587
80286,20131231,TSCO,77.58000,139587
80924,20130131,SIRI,3.14000,5262440
80924,20130228,SIRI,3.11000,5262440
80924,20130328,SIRI,3.08000,6433649
80924,20130430,SIRI,3.25000,6382193
80924,20130531,SIRI,3.48500,6382193
80924,20130628,SIRI,3.35000,6247221
80924,20130731,SIRI,3.74000,6209264
80924,20130830,SIRI,3.58000,6209264
80924,20130930,SIRI,3.87500,6134597
80924,20131031,SIRI,3.76500,6135513
80924,20131129,SIRI,3.77000,6135513
80924,20131231,SIRI,3.49000,6135513
81481,20130131,DLTR,39.99000,227206
81481,20130228,DLTR,45.18500,224584
81481,20130328,DLTR,48.43000,224591
81481,20130430,DLTR,47.56000,224038
81481,20130531,DLTR,48.04000,223834
81481,20130628,DLTR,50.84000,223834
81481,20130731,DLTR,53.65000,223834
81481,20130830,DLTR,52.70000,223007
81481,20130930,DLTR,57.16000,211368
81481,20131031,DLTR,58.40000,211368
81481,20131129,DLTR,55.65000,208094
81481,20131231,DLTR,56.42000,208094
81696,20130131,DISH,37.26000,214495
81696,20130228,DISH,34.80000,214523
81696,20130328,DISH,37.90000,215044
81696,20130430,DISH,39.19000,215044
81696,20130531,DISH,38.54000,216231
81696,20130628,DISH,42.52000,217570
81696,20130731,DISH,44.65000,218230
81696,20130830,DISH,44.96000,218230
81696,20130930,DISH,45.01000,219330
81696,20131031,DISH,48.22500,219330
81696,20131129,DISH,54.16000,219369
81696,20131231,DISH,57.92000,219369
82581,20130131,HSIC,86.34000,87851
82581,20130228,HSIC,89.22000,87573
82581,20130328,HSIC,92.55000,87382
82581,20130430,HSIC,90.40000,87133
82581,20130531,HSIC,96.29000,87133
82581,20130628,HSIC,95.74000,86726
82581,20130731,HSIC,103.83000,86491
82581,20130830,HSIC,101.05000,86491
82581,20130930,HSIC,103.76500,86029
82581,20131031,HSIC,112.43000,85854
82581,20131129,HSIC,114.00000,85854
82581,20131231,HSIC,114.26000,85854
82598,20130131,NTAP,36.00000,360100
82598,20130228,NTAP,33.84000,360407
82598,20130328,NTAP,34.16000,360407
82598,20130430,NTAP,34.89000,356600
82598,20130531,NTAP,37.53000,356600
82598,20130628,NTAP,37.78000,361111
82598,20130731,NTAP,41.12000,341900
82598,20130830,NTAP,41.54000,340094
82598,20130930,NTAP,42.62000,340094
82598,20131031,NTAP,38.81000,341800
82598,20131129,NTAP,41.25000,340818
82598,20131231,NTAP,41.14000,340818
82618,20130131,SNDK,49.99000,241432
82618,20130228,SNDK,50.41000,241847
82618,20130328,SNDK,54.96000,243369
82618,20130430,SNDK,52.44000,243329
82618,20130531,SNDK,59.02000,243329
82618,20130628,SNDK,61.10000,240390
82618,20130731,SNDK,55.12000,240390
82618,20130830,SNDK,55.18000,240390
82618,20130930,SNDK,59.51000,225891
82618,20131031,SNDK,69.49500,225891
82618,20131129,SNDK,68.15000,225891
82618,20131231,SNDK,70.54000,225891
82686,20130131,CTXS,73.16000,186342
82686,20130228,CTXS,70.90000,186640
82686,20130328,CTXS,72.15000,186990
82686,20130430,CTXS,62.16000,187124
82686,20130531,CTXS,64.38000,187124
82686,20130628,CTXS,60.36000,186787
82686,20130731,CTXS,72.02000,187382
82686,20130830,CTXS,70.77000,187382
82686,20130930,CTXS,70.61000,187229
82686,20131031,CTXS,56.78000,186397
82686,20131129,CTXS,59.32000,186397
82686,20131231,CTXS,63.25000,186397
83111,20130131,ALXN,93.99000,194691
83111,20130228,ALXN,86.74000,195209
83111,20130328,ALXN,92.14000,195055
83111,20130430,ALXN,98.00000,195147
83111,20130531,ALXN,97.58000,195147
83111,20130628,ALXN,92.24000,195236
83111,20130731,ALXN,116.19000,195558
83111,20130830,ALXN,107.76000,195558
83111,20130930,ALXN,116.16000,196033
83111,20131031,ALXN,122.95000,196074
83111,20131129,ALXN,124.50000,196074
83111,20131231,ALXN,132.88400,196074
83435,20130131,YHOO,19.63000,1115233
83435,20130228,YHOO,21.30500,1101295
83435,20130328,YHOO,23.52900,1084766
83435,20130430,YHOO,24.73000,1082635
83435,20130531,YHOO,26.30000,1082635
83435,20130628,YHOO,25.13000,1065046
83435,20130731,YHOO,28.09000,1020321
83435,20130830,YHOO,27.12000,1020321
83435,20130930,YHOO,33.17000,1013059
83435,20131031,YHOO,32.94000,1014442
83435,20131129,YHOO,36.98000,1014442
83435,20131231,YHOO,40.44000,1014442
83639,20130131,CHKP,50.00000,199029
83639,20130228,CHKP,52.51000,199029
83639,20130328,CHKP,46.99000,199029
83639,20130430,CHKP,46.62000,196698
83639,20130531,CHKP,50.08000,196436
83639,20130628,CHKP,49.68000,196436
83639,20130731,CHKP,56.32000,196436
83639,20130830,CHKP,56.07000,196436
83639,20130930,CHKP,56.56000,196436
83639,20131031,CHKP,58.02000,196436
83639,20131129,CHKP,61.86000,196436
83639,20131231,CHKP,64.49900,196436
83906,20130131,SRCL,94.35000,85988
83906,20130228,SRCL,95.92000,86090
83906,20130328,SRCL,106.18000,86218
83906,20130430,SRCL,108.32000,86218
83906,20130531,SRCL,109.76000,86281
83906,20130628,SRCL,110.43000,85921
83906,20130731,SRCL,115.94000,85921
83906,20130830,SRCL,112.56000,85891
83906,20130930,SRCL,115.40000,85693
83906,20131031,SRCL,116.20000,85693
83906,20131129,SRCL,117.48000,85710
83906,20131231,SRCL,116.17000,85710
84342,20130131,MWW,5.80000,117103
84342,20130228,MWW,5.12000,116837
84342,20130328,MWW,5.07000,116837
84342,20130430,MWW,4.38000,116537
84342,20130531,MWW,5.53000,116537
84342,20130628,MWW,4.91000,116537
84342,20130731,MWW,5.72000,116537
84342,20130830,MWW,4.50000,113034
